"HolderAddress","PrivateTag","Balance","PendingBalanceUpdate"
"0xae0f77c239f72da36d4da20a4bbdaae4ca48e03f","-","27.073310937882283013","No"
"0x4a26723d47327a62da226f0f433aab60bd57126e","-","25.781853088955570664","No"
"0x322f2d4bfe8280eeb713b7c51eeba42590c36f78","-","25.675377920476544494","No"
"0x4f0b0b31dac53a64c1e285ff7f5749a0b39ca84e","-","25.287671382163933177","No"
"0x35d4d9bc79b0a543934b1769304b90d752691cad","-","24.103156037139449929","No"
"0x89fdd0ef4302424313c2b3c05ee20f9556c7c30b","-","23.587680269741376108","No"
"0xa7918db8eca1a399cc9c4702990df05631b42523","-","23.361593565781431352","No"
"0xe558002399291ce372b90f5e525fcb2a56c68b22","-","22.74253074698530544","No"
"0xd4cebc569a2872dbf302a3725098c6ed35b32c0b","-","22.568886163306339355","No"
"0x15bbcf76110505d3be5a9eb10c63f57f66d20c40","-","22.145800374649692954","No"
"0xf5b4b77a40b6d2fe1f82c727166bdb894b2a590b","-","21.744286802843208344","No"
"0x79647556058c8e785ef3cd3b5ac8360a740c5dea","-","21.393407667250990845","No"
"0xbdd88f52c0b1b077cc3b460b643edd81ae6ec6f8","-","20.206116519445026361","No"
"0xd2d70bda86d2c2a74a63a5229f01b70669f34988","-","19.982281309081021591","No"
"0xf24cc39e8d29bc933c7cdc7adbe2728c2db32d7c","-","19.38400311471252432","No"
"0xa3670fd96a1743088f4e46ac0e2541055c81fd66","-","19.09005638828225828","No"
"0x8187561a7573d82e98c5631a8a6795a7f3045ec8","-","18.885996275131475247","No"
"0xac923a0a43e0a3269245f7e7b2294c1bf9c15e39","-","18.731637800214249598","No"
"0x6c8550167bbd06d4610a6a443ecbed84bd1accd6","-","18.371124178799658586","No"
"0xc3e29641217536c8cbcd3a37516c726a4f56d378","-","18.269767617880201595","No"
"0x8ce17ff2c7376e9adfe9c63c47a801097fa6c525","-","18.240782552022769616","No"
"0xe8aa2a256f3481f303bdacc07302f6cb82823d88","-","18.019764428747081775","No"
"0xad05e9699ab78ae80660208de2fb32167644b08e","-","17.884457196141910586","No"
"0x8ca870bff8479fcf3b8bbc1006bede10d23ec52c","-","17.707754242631264581","No"
"0x5cc7c7f7a46ecab4312274d6993d209a5b1ab2cd","-","17.653124327196052839","No"
"0xb4fbdbc8371a1a3ad3b92012c7a3cdad807b6641","-","17.407269893380984831","No"
"0x000000000004444c5dc75cb358380d2e3de08a90","-","17.273613069707942792","No"
"0xd62acebc80556b31797d7f700091ba4d30fdbf48","-","17.1293550539346339","No"
"0x66a4f5d0b57d86bf1b9bfc63e991a9387791fdcd","-","17.08451013785350824","No"
"0xc3d688b66703497daa19211eedff47f25384cdc3","-","16.802620070854901001","No"
"0x40c56c79edec17de06a8dcb60ae5254e5a48ba3f","-","16.038930138481028017","No"
"0xcecc33b29478e70c33bad2007deb47c793fb4f4a","-","15.938555987930764205","No"
"0x06594c6345f0e4e55840e269b82772960b157650","-","15.931013308537944507","No"
"0x618f2d5932b4d29bda43a96be1eef390e1916e24","-","15.321458412766407467","No"
"0x537c351c374b013f4db9bbe2b078803ecffc6d54","-","15.292947966919096181","No"
"0xef4a41e692319ae4aa596314d282b3f2a3830bed","-","15.195772745522449982","No"
"0x856f1ea78361140834fdcd0db0b08079e4a45062","-","14.881525900478222082","No"
"0x725d80f337a8cb585a5b8b3f803fe7238c26c80d","-","14.859828574187867894","No"
"0xbbf7fbc7fa97a88c83c1b8a825692f84ef9d4b13","-","14.495566698208738683","No"
"0x5f13dca9f694532be567a71e27a32ab271b673dc","-","14.38096967287688874","No"
"0xefe3b76051fa654fade6c8160b8e9ceb0f27f596","-","13.871924167914240095","No"
"0x295e677a36ced06af52fe6a2333bd816d637dcb7","-","13.792979926167078168","No"
"0xccf2daba8bb04a232a2fda0d01010d4ef6c69b85","-","13.569","No"
"0xd8b6f96515d82db595fee5ca36fec4d4e2161868","-","13.452727084808599031","No"
"0xa111f66eacf6a25478b266b757ad2fdf20b177de","-","13.122860585576530333","No"
"0xfcddaffeafd16eaee959a4d9065db8f3c2a8a2b8","-","12.981598183475422876","No"
"0x4a35e2b7d1a23fd41317e77b65150f87aadff70d","-","12.93883108574931753","No"
"0xfc95c6e764575c96ca8cd03ee9d64c9e218655a3","-","12.82938441259908636","No"
"0x9a48d95b02c46ec57fd071b6087739b0bb5dc6a1","-","12.677764824073993185","No"
"0x457adb2c68214d7dd2d1e89fcc10e4cce27e2608","-","12.675421369863060284","No"
"0x24fe3693be0d800a093ab1e0c669dab4584c6f68","-","12.666225762296518476","No"
"0xac4baa75994c50dd120101f3a086a85c637dbc2e","-","12.482290316637258261","No"
"0xf39156c454ebec040d5a965fd33573f604261e82","-","12.176532762171043181","No"
"0xdbfef83fe8138fbda3d7afd8d7e178373901624f","-","12.126116836447927206","No"
"0xde4d77c55c3bdfd7f6068dfac7d3772e0e1d1bca","-","12.090699149179520217","No"
"0x549e57f0247182119c6b4239b317c1c98c61e3c2","-","12.036651951223170282","No"
"0x348885b59fd93a16ce99ec2a3c5c34a12b92284b","-","12.034644767795064891","No"
"0x51e198d1c979734b99a2a331a76f6bb784bf474f","-","12.018053508692004007","No"
"0x2fe86e4531213e5a9b879db2ec8016db33d614ea","-","11.982982449799093647","No"
"0x52302c915856494b3d813ccdfdc905ca1226782f","-","11.852950926497414364","No"
"0x90e5193d7d924a96808d33b77f6269845d5fe95f","-","11.840774","No"
"0x7101e6c7b3bf31467179bbc858cbe9984aba0338","-","11.788779428727680236","No"
"0xd708f6bb0475bac4eb309eae0da320cdbb4dc191","-","11.647644203294794017","No"
"0xe06dbceb129a3d3b7d539c6a32d30b47c4fe9ddf","-","11.270365639356359378","No"
"0x2424b29e8303178b7f068902e90795dd01ec322f","-","11.242","No"
"0xca23a26b289ec053a3aa198f7cfb2ce4efe9859c","-","10.946445267693369082","No"
"0x022ca32d31da3ef85922aafd9ad29c5b2418172c","-","10.929804441513497645","No"
"0x41cd25db3ffbfd87640b926323743f0748dd6d47","-","10.792629408738598751","No"
"0x8f25a0b89590ebc0b14705f9afe78ba8139d0413","-","10.662157603665144802","No"
"0x23225ab5bb0a9e6b86393781f8a30395471ba156","-","10.624558818967414429","No"
"0x6f2647a02e7afaa885938078977557c490f20ac5","-","10.62102155921561653","No"
"0xad16edcf7deb7e90096a259c81269d811544b6b6","-","10.470508882443500134","No"
"0xcbe6362d5bdcde0ababd571d10d34e1d603a1054","-","10.360754","No"
"0xf2a7594190d0a719f43bb79f90a45414282e0261","-","10.27416810526629953","No"
"0x25d89f4c9a22d50a2facc7c049604c5428cc1a44","-","10.257748162487779117","No"
"0x3bc3ac09d1ee05393f2848d82cb420f347954432","-","10.255692522547372187","No"
"0xb2d0ef590ea4fcd69f27bac7de0b8a7e71bca242","-","10.140953328495946999","No"
"0x2497938709a430d9316e6faf0f958e5331b9468c","-","10.129076930234941054","No"
"0x905c725b0a212d983db834309f1ba086847cc2ee","-","10.052825508453920186","No"
"0x7319491e7f84c610fdb692f828b10fd91d420d99","-","10.000006358117136148","No"
"0xc6ade8a68026d582ab37b879d188caf7e405dd09","-","9.957759427186213792","No"
"0xd3a1007ed0897c0b4b54545cfae1141c40c126a2","-","9.956870360573338864","No"
"0xe0de81cffa8bc53e5122185e2104124f637da212","-","9.949144152502421125","No"
"0x6527ed1c7d8fd0c529bb13792dc26cbc1d71624b","-","9.943556195019224604","No"
"0x32de74de110256ff4ace064b8c682c20623b3bb6","-","9.936944746523446205","No"
